TitleName,TvRating,Genre,TitleId,YearMade,Score 
the fall,2016,Comedy,TV-MA,483,61
the blacklist,2016,Comedy,TV-14,484,96
being mary jane: the series,2016,Comedy,TV-14,485,0
american crime,2016,Comedy,TV-14,486,0
madam secretary,2016,Comedy,TV-14,487,70
sense8,2017,Comedy,TV-MA,488,81
scream,2016,Comedy,TV-14,489,0
rosewood,2015,Comedy,TV-14,490,81
the great british baking show,2016,Comedy,TV-PG,491,94
quantico,2016,Comedy,TV-14,492,88
limitless,2016,Comedy,TV-14,493,84
american crime story: the people v. o.j. simpson,2016,Comedy,TV-MA,494,79
santa clarita diet,2017,Comedy,TV-MA,495,82
no tomorrow,2016,Comedy,TV-14,496,0
girlboss,2017,Comedy,TV-MA,497,94
13 reasons why,2017,Comedy,TV-MA,498,99
the doctor blake mysteries,2016,Comedy,TV-MA,499,57
greenleaf,2016,Comedy,TV-14,500,62
the nightmare before christmas,1993,Comedy,PG,501,84
scooby-doo,2002,Comedy,PG,502,86
chicken little,2005,Comedy,G,503,92
teenage mutant ninja turtles,2007,Comedy,PG,504,0
star wars: the clone wars,2008,Comedy,PG,505,57
coraline,2009,Comedy,PG,506,95
the smurfs and the magic flute,1976,Comedy,G,507,0
we're back! a dinosaur's story,1993,Comedy,G,508,0
thomas & friends: thomas & the runaway kite,2010,Comedy,TV-Y,509,0
dino squad,2008,Comedy,TV-Y7,510,0
cars toons: mater's tall tales,2010,Comedy,TV-G,511,74
leapfrog: the amazing alphabet amusement park,2010,Comedy,TV-Y,512,0
star wars: the clone wars,2014,Comedy,TV-PG,513,93
phineas and ferb,2012,Comedy,TV-G,514,89
the batman,2007,Comedy,TV-Y7,515,77
justice league,2003,Comedy,TV-Y7-FV,516,66
justice league unlimited,2005,Comedy,TV-Y7-FV,517,0
mighty morphin power rangers,2010,Comedy,TV-Y7-FV,518,73
young justice,2012,Comedy,TV-PG,519,71
the super mario bros. super show!,1989,Comedy,TV-Y7,520,0
power rangers zeo,1996,Comedy,TV-Y7-FV,521,0
oscar's oasis,2011,Comedy,TV-G,522,0
transformers prime,2013,Comedy,TV-Y7-FV,523,0
the adventures of chuck & friends,2011,Comedy,TV-Y,524,0
transformers: rescue bots,2016,Comedy,TV-Y7,525,0
thomas & friends: king of the railway,2013,Comedy,TV-G,526,0
lego: marvel super heroes: maximum overload,2013,Comedy,TV-Y7-FV,527,0
max steel,2014,Comedy,TV-Y7-FV,528,0
transformers prime beast hunters: predacons rising,2013,Comedy,TV-Y7-FV,529,0
agent f.o.x.,2014,Comedy,PG,530,0
veggietales in the house,2016,Comedy,TV-Y,531,0
thunder and the house of magic,2013,Comedy,TV-G,532,0
all hail king julien,2016,Comedy,TV-Y7-FV,533,71
kong: king of the apes,2016,Comedy,TV-Y7-FV,534,0
marvel super hero adventures: frost fight!,2015,Comedy,PG,535,0
slugterra: slug fu showdown,2015,Comedy,TV-Y7-FV,536,0
dinotrux,2017,Comedy,TV-Y7-FV,537,0
edgar rice burroughs' tarzan and jane,2017,Comedy,TV-Y7-FV,538,0
lego dc comics: batman be-leaguered,2014,Comedy,TV-Y7,539,0
trollhunters,2016,Comedy,TV-Y7-FV,540,83
power rangers dino charge,2015,Comedy,TV-Y7,541,0
bunks,2013,Comedy,TV-PG,542,0
the jungle book,2016,Comedy,PG,543,97
the angry birds movie,2016,Comedy,PG,544,92
the secret life of pets,2016,Comedy,PG,545,0
the furchester hotel,2015,Comedy,TV-Y,546,0
marvel's hulk: where monsters dwell,2016,Comedy,PG,547,0
angry birds,2013,Comedy,TV-G,548,0
talking tom and friends,2016,Comedy,TV-G,549,61
nexo knights,2015,Comedy,TV-Y7-FV,550,0
the nightmare before christmas,1993,Comedy,PG,551,84
